record,group,time_s,r_cm,z_cm,value,metric
field,Q2/Q3,10800.0,0.704833984375,1.32904052734375,-2.509813325812793e-05,delta_C
field,Q2/Q3,10800.0,0.754638671875,1.32904052734375,-2.4051790231904846e-05,delta_C
field,Q2/Q3,10800.0,0.8034667968750001,1.32904052734375,-2.297185747335284e-05,delta_C
field,Q2/Q3,10800.0,0.8513183593749999,1.32904052734375,-2.186436359763455e-05,delta_C
field,Q2/Q3,10800.0,0.898193359375,1.32904052734375,-2.07350938614681e-05,delta_C
field,Q2/Q3,10800.0,0.944091796875,1.32904052734375,-1.9589574103751062e-05,delta_C
field,Q2/Q3,10800.0,0.989013671875,1.32904052734375,-1.843305751370039e-05,delta_C
field,Q2/Q3,10800.0,1.032958984375,1.32904052734375,-1.7270514059752884e-05,delta_C
field,Q2/Q3,10800.0,1.075927734375,1.32904052734375,-1.6106622411360405e-05,delta_C
field,Q2/Q3,10800.0,1.117919921875,1.32904052734375,-1.4945764212237478e-05,delta_C
field,Q2/Q3,10800.0,1.158935546875,1.32904052734375,-1.3792020515435155e-05,delta_C
field,Q2/Q3,10800.0,1.198974609375,1.32904052734375,-1.264917024768053e-05,delta_C
field,Q2/Q3,10800.0,1.238037109375,1.32904052734375,-1.152069055954108e-05,delta_C
field,Q2/Q3,10800.0,1.276123046875,1.32904052734375,-1.0409758920415513e-05,delta_C
field,Q2/Q3,10800.0,1.313232421875,1.32904052734375,-9.319256858431046e-06,delta_C
field,Q2/Q3,10800.0,1.349365234375,1.32904052734375,-8.2517752495459e-06,delta_C
field,Q2/Q3,10800.0,1.384521484375,1.32904052734375,-7.209621062376215e-06,delta_C
field,Q2/Q3,10800.0,1.418701171875,1.32904052734375,-6.194825485472677e-06,delta_C
field,Q2/Q3,10800.0,1.451904296875,1.32904052734375,-5.209153347562889e-06,delta_C
field,Q2/Q3,10800.0,1.484130859375,1.32904052734375,-4.254113726398501e-06,delta_C
field,Q2/Q3,10800.0,1.515380859375,1.32904052734375,-3.33097161253626e-06,delta_C
field,Q2/Q3,10800.0,1.545654296875,1.32904052734375,-2.440760479061055e-06,delta_C
field,Q2/Q3,10800.0,1.5749511718750002,1.32904052734375,-1.584295559409199e-06,delta_C
field,Q2/Q3,10800.0,1.603271484375,1.32904052734375,-7.621876343399947e-07,delta_C
field,Q2/Q3,10800.0,1.6306152343750002,1.32904052734375,2.5142877557726706e-08,delta_C
field,Q2/Q3,10800.0,1.656982421875,1.32904052734375,7.774517114533808e-07,delta_C
field,Q2/Q3,10800.0,1.682373046875,1.32904052734375,1.4946565627393937e-06,delta_C
field,Q2/Q3,10800.0,1.706787109375,1.32904052734375,2.176823006294626e-06,delta_C
field,Q2/Q3,10800.0,1.730224609375,1.32904052734375,2.8241505936055233e-06,delta_C
field,Q2/Q3,10800.0,1.7526855468750002,1.32904052734375,3.4369591568328417e-06,delta_C
field,Q2/Q3,10800.0,1.774169921875,1.32904052734375,4.015675363788773e-06,delta_C
field,Q2/Q3,10800.0,1.7946777343750002,1.32904052734375,4.56081949695708e-06,delta_C
field,Q2/Q3,10800.0,1.814208984375,1.32904052734375,5.072992436794266e-06,delta_C
field,Q2/Q3,10800.0,1.8327636718750002,1.32904052734375,5.55286276160416e-06,delta_C
field,Q2/Q3,10800.0,1.8503417968750002,1.32904052734375,6.0011539018134386e-06,delta_C
field,Q2/Q3,10800.0,1.866943359375,1.32904052734375,6.418631373295014e-06,delta_C
field,Q2/Q3,10800.0,1.882568359375,1.32904052734375,6.806090235622619e-06,delta_C
field,Q2/Q3,10800.0,1.8972167968750002,1.32904052734375,7.164342952892255e-06,delta_C
